building_id,bldg_name,use_type,use_sub,barangay,brgy_id,municipality,height_m,floors,area_sqm,cen_x,cen_y,ground_elev_m,dist_to_stp_m,required_depth_at_stp_m,sewer_feasibility,exclusion_reason,alternative_service
40326,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,53.97,593313.99,1066722.71,2.49,1071.5,7.71,Sewer Feasible,GW Depth,FSM (septic + desludging) or DEWATS
40462,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,4.58,2,135.1,593026.23,1067196.92,1.54,898.8,7.69,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
44157,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,5.14,2,238.76,593318.29,1066752.86,4.0,1042.5,6.04,Sewer Feasible,GW Depth,FSM (septic + desludging) or DEWATS
61346,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,35.3,593408.49,1066461.9,-0.79,1280.9,12.16,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60921,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,71.35,593408.77,1066468.63,-0.76,1274.3,12.1,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60698,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,47.6,593422.95,1066448.47,-0.67,1289.7,12.09,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61622,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,76.07,593396.38,1066500.82,-0.81,1247.3,11.99,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60587,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,28.83,593405.83,1066492.34,-0.73,1252.5,11.94,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60900,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,51.84,593417.22,1066461.91,-0.57,1278.4,11.93,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60865,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,11.24,593399.95,1066504.66,-0.72,1242.6,11.88,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61752,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,73.2,593418.69,1066473.61,-0.57,1266.7,11.86,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61153,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,33.06,593410.98,1066495.25,-0.65,1248.2,11.84,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60195,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,82.88,593406.02,1066508.0,-0.54,1237.5,11.67,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60247,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,92.34,593396.76,1066517.98,-0.58,1230.9,11.67,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60626,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,11.29,593413.18,1066501.6,-0.51,1241.5,11.66,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
