building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
37075,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37077,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37078,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37081,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37084,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37085,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37086,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37087,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37089,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37090,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37093,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37094,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37095,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37097,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37098,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37101,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37106,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37107,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37110,R1,Tagbilaran City,Booy,Commercial Establishments,Retail & Shopping,Served
37111,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37112,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37113,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37114,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37115,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37116,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37117,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37119,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37125,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37127,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37128,R1,Tagbilaran City,Booy,Industrial,Fuel & Energy,Served
37129,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37132,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37134,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37135,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37136,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37137,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37138,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37144,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37146,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37147,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37148,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37154,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37156,R1,Tagbilaran City,Booy,Commercial Establishments,Hospitality & Accommodation,Served
37158,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37161,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37163,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37164,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37166,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37168,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37170,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37171,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37175,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37177,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37178,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37179,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37181,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37183,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37186,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37188,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37189,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37191,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37192,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37194,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37197,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37199,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37200,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37202,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37204,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37206,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37207,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37208,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37209,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37211,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37212,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37215,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37218,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37221,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37223,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37224,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37225,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37228,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37229,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37232,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37233,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37235,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37236,R1,Tagbilaran City,Booy,Commercial Establishments,Food & Beverage,Served
37238,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37241,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37242,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37244,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37247,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37248,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37249,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37255,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37257,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37259,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37261,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37262,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37263,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37265,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37266,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37267,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37268,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37270,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37271,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37272,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37274,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37276,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37278,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37281,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37282,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37283,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37284,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37285,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37287,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37288,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37290,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37291,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37293,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37295,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37297,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37299,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37300,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37301,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37302,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37303,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37304,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37306,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37310,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37311,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37313,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37316,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37317,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37318,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37320,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37321,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
